iter	Passed	Remaining
0	1	117
1	2	110
2	3	104
3	4	102
4	5	99
5	6	96
6	7	95
7	8	93
8	9	92
9	10	90
10	11	89
11	12	88
12	13	88
13	14	87
14	15	86
15	16	85
16	17	84
17	18	82
18	19	82
19	20	80
20	21	79
21	21	77
22	22	76
23	23	75
24	24	74
25	25	73
26	26	72
27	27	70
28	28	69
29	29	68
30	30	67
31	31	66
32	32	65
33	32	63
34	33	62
35	34	61
36	35	60
37	36	59
38	37	57
39	37	56
40	38	55
41	39	54
42	40	53
43	41	52
44	42	51
45	43	50
46	44	49
47	45	48
48	46	47
49	46	46
50	47	46
51	48	45
52	49	44
53	50	43
54	51	42
55	52	41
56	53	40
57	54	39
58	55	38
59	56	37
60	57	36
61	58	35
62	59	34
63	60	34
64	61	33
65	62	32
66	63	31
67	64	30
68	65	29
69	66	28
70	66	27
71	67	26
72	68	25
73	69	24
74	70	23
75	71	22
76	72	21
77	73	20
78	74	19
79	75	18
80	76	17
81	76	16
82	77	15
83	78	14
84	79	14
85	80	13
86	81	12
87	82	11
88	83	10
89	84	9
90	85	8
91	86	7
92	87	6
93	88	5
94	89	4
95	90	3
96	90	2
97	91	1
98	92	0
99	93	0
